Project:,PALACIOS CARIBBEAN,,,,,,,,,,,,,,,,,,,,,,,,,
Material Details Date:,1/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Components,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Quantity,Plies,Board Feet/Truss,Board Feet Total,Linear Feet/Truss,Linear Feet Total,Lumber Pieces/Truss,Lumber Pieces Total,Lumber Cost/Truss,Lumber Cost Total,Plate Count/Truss,Plate Count Total,Plates Cost/Truss,Plates Cost Total,Connector Count/Truss,Connector Count Total,Connector Cost/Truss,Connector Cost Total,Material Cost/Truss,Material Cost Total,Labor Cost/Board Foot,Labor Cost/Linear Foot,Labor Cost/Truss,Labor Cost Total,Total Cost/Truss,Total Cost
CJ_1A,4,1,6.4,25.8,4.411,17.646,4,16,$3.05 ,$12.19 ,6,24,$3.52 ,$14.08 ,0,0,0,0,$6.57 ,$26.27 ,,,,,$6.57 ,$26.27 
CJ_1B,4,1,2.5,10.2,2.411,9.646,2,8,$1.19 ,$4.77 ,2,8,$1.38 ,$5.52 ,0,0,0,0,$2.57 ,$10.29 ,,,,,$2.57 ,$10.29 
CJ_2A,2,1,8.9,17.8,6.974,13.948,2,4,$4.04 ,$8.07 ,2,4,$1.38 ,$2.76 ,0,0,0,0,$5.42 ,$10.83 ,,,,,$5.42 ,$10.83 
CJ_2B,2,1,6.1,12.2,4.974,9.948,2,4,$3.02 ,$6.04 ,2,4,$1.38 ,$2.76 ,0,0,0,0,$4.40 ,$8.80 ,,,,,$4.40 ,$8.80 
CJ_2C,2,1,3.3,6.6,2.974,5.948,2,4,$1.55 ,$3.09 ,2,4,$1.24 ,$2.48 ,0,0,0,0,$2.79 ,$5.58 ,,,,,$2.79 ,$5.58 
CJ_4A,2,1,5.9,11.7,4.807,9.615,2,4,$2.91 ,$5.81 ,2,4,$1.38 ,$2.76 ,0,0,0,0,$4.29 ,$8.57 ,,,,,$4.29 ,$8.57 
CJ_4B,2,1,3.1,6.2,2.807,5.615,2,4,$1.44 ,$2.88 ,2,4,$1.66 ,$3.31 ,0,0,0,0,$3.10 ,$6.20 ,,,,,$3.10 ,$6.20 
EJ_1,3,1,9.3,27.8,6.438,19.312,4,12,$5.03 ,$15.10 ,6,18,$4.55 ,$13.66 ,0,0,0,0,$9.59 ,$28.77 ,,,,,$9.59 ,$28.77 
EJ_2,9,1,12.8,115.3,9,81,3,27,$5.53 ,$49.74 ,6,54,$4.42 ,$39.75 ,0,0,0,0,$9.94 ,$89.49 ,,,,,$9.94 ,$89.49 
EJ_4,3,1,8.7,26,6.833,20.5,2,6,$4.80 ,$14.40 ,2,6,$1.38 ,$4.14 ,0,0,0,0,$6.18 ,$18.54 ,,,,,$6.18 ,$18.54 
EJ_4A,1,1,7.7,7.7,5.5,5.5,2,2,$3.54 ,$3.54 ,2,2,$1.66 ,$1.66 ,0,0,0,0,$5.19 ,$5.19 ,,,,,$5.19 ,$5.19 
FT_1A,1,1,31.9,31.9,15.667,15.667,15,15,$15.37 ,$15.37 ,22,22,$17.74 ,$17.74 ,0,0,0,0,$33.11 ,$33.11 ,,,,,$33.11 ,$33.11 
FT_1B,1,1,33.5,33.5,15.667,15.667,14,14,$16.53 ,$16.53 ,20,20,$16.77 ,$16.77 ,0,0,0,0,$33.30 ,$33.30 ,,,,,$33.30 ,$33.30 
FT_1C,1,1,36.9,36.9,15.667,15.667,14,14,$17.00 ,$17.00 ,22,22,$15.39 ,$15.39 ,0,0,0,0,$32.39 ,$32.39 ,,,,,$32.39 ,$32.39 
FT_1D,1,1,39.8,39.8,15.667,15.667,14,14,$18.73 ,$18.73 ,22,22,$14.84 ,$14.84 ,0,0,0,0,$33.57 ,$33.57 ,,,,,$33.57 ,$33.57 
FT_1E,1,1,36.8,36.8,15.667,15.667,12,12,$17.72 ,$17.72 ,20,20,$14.84 ,$14.84 ,0,0,0,0,$32.55 ,$32.55 ,,,,,$32.55 ,$32.55 
FT_2A,1,1,63,63,27.333,27.333,12,12,$27.57 ,$27.57 ,22,22,$11.11 ,$11.11 ,0,0,0,0,$38.68 ,$38.68 ,,,,,$38.68 ,$38.68 
FT_3A,1,1,106.7,106.7,42.333,42.333,20,20,$49.59 ,$49.59 ,34,34,$41.34 ,$41.34 ,0,0,0,0,$90.92 ,$90.92 ,,,,,$90.92 ,$90.92 
FT_3B,1,1,109.8,109.8,42.333,42.333,21,21,$51.31 ,$51.31 ,36,36,$48.13 ,$48.13 ,0,0,0,0,$99.45 ,$99.45 ,,,,,$99.45 ,$99.45 
FT_3C,1,1,113.9,113.9,42.333,42.333,30,30,$54.61 ,$54.61 ,58,58,$55.61 ,$55.61 ,0,0,0,0,$110.22 ,$110.22 ,,,,,$110.22 ,$110.22 
FT_3D,1,1,117,117,42.333,42.333,31,31,$55.99 ,$55.99 ,60,60,$57.21 ,$57.21 ,0,0,0,0,$113.20 ,$113.20 ,,,,,$113.20 ,$113.20 
FT_5A,1,1,47.3,47.3,20.958,20.958,9,9,$20.81 ,$20.81 ,16,16,$8.56 ,$8.56 ,0,0,0,0,$29.36 ,$29.36 ,,,,,$29.36 ,$29.36 
FT_5B,1,1,57.3,57.3,20.958,20.958,15,15,$24.98 ,$24.98 ,24,24,$24.88 ,$24.88 ,0,0,0,0,$49.86 ,$49.86 ,,,,,$49.86 ,$49.86 
FT_5C,1,1,57.3,57.3,20.958,20.958,14,14,$24.49 ,$24.49 ,22,22,$27.75 ,$27.75 ,0,0,0,0,$52.23 ,$52.23 ,,,,,$52.23 ,$52.23 
FT_5D,1,1,58.4,58.4,20.958,20.958,14,14,$25.34 ,$25.34 ,24,24,$26.74 ,$26.74 ,0,0,0,0,$52.09 ,$52.09 ,,,,,$52.09 ,$52.09 
FT_5E,1,1,59.4,59.4,20.958,20.958,13,13,$25.88 ,$25.88 ,22,22,$25.89 ,$25.89 ,0,0,0,0,$51.77 ,$51.77 ,,,,,$51.77 ,$51.77 
FT_6A,1,1,17.5,17.5,7.083,7.083,7,7,$8.15 ,$8.15 ,10,10,$6.00 ,$6.00 ,0,0,0,0,$14.16 ,$14.16 ,,,,,$14.16 ,$14.16 
FT_6B,1,1,18.7,18.7,7.083,7.083,7,7,$8.61 ,$8.61 ,10,10,$5.31 ,$5.31 ,0,0,0,0,$13.92 ,$13.92 ,,,,,$13.92 ,$13.92 
FT_6C,1,1,19.4,19.4,7.083,7.083,7,7,$8.87 ,$8.87 ,10,10,$5.73 ,$5.73 ,0,0,0,0,$14.60 ,$14.60 ,,,,,$14.60 ,$14.60 
GT_5,1,1,48.6,48.6,22.667,22.667,17,17,$20.73 ,$20.73 ,56,56,$20.70 ,$20.70 ,0,0,0,0,$41.44 ,$41.44 ,,,,,$41.44 ,$41.44 
GT_6,1,1,21.4,21.4,13.167,13.167,10,10,$10.82 ,$10.82 ,28,28,$9.52 ,$9.52 ,0,0,0,0,$20.34 ,$20.34 ,,,,,$20.34 ,$20.34 
HG_1,1,2,61.3,61.3,31.333,31.333,22,22,$27.87 ,$27.87 ,40,40,$27.21 ,$27.21 ,0,0,0,0,$55.08 ,$55.08 ,,,,,$55.08 ,$55.08 
HG_2,1,1,71.8,71.8,27.333,27.333,11,11,$27.65 ,$27.65 ,20,20,$18.96 ,$18.96 ,0,0,0,0,$46.61 ,$46.61 ,,,,,$46.61 ,$46.61 
HG_4,1,1,27.6,27.6,14.125,14.125,8,8,$13.66 ,$13.66 ,14,14,$6.76 ,$6.76 ,0,0,0,0,$20.43 ,$20.43 ,,,,,$20.43 ,$20.43 
KJ_1,2,1,14.8,29.6,8.979,17.958,5,10,$6.17 ,$12.33 ,10,20,$7.73 ,$15.46 ,0,0,0,0,$13.90 ,$27.79 ,,,,,$13.90 ,$27.79 
KJ_2,1,1,25.6,25.6,12.665,12.665,5,5,$11.42 ,$11.42 ,10,10,$5.80 ,$5.80 ,0,0,0,0,$17.22 ,$17.22 ,,,,,$17.22 ,$17.22 
KJ_4,1,1,17.7,17.7,9.25,9.25,5,5,$7.61 ,$7.61 ,10,10,$4.69 ,$4.69 ,0,0,0,0,$12.30 ,$12.30 ,,,,,$12.30 ,$12.30 
T_3,8,1,115.2,921.7,42.333,338.667,28,224,$55.62 ,$444.94 ,56,448,$56.54 ,$452.31 ,0,0,0,0,$112.16 ,$897.25 ,,,,,$112.16 ,$897.25 
T_3A,2,1,111.9,223.8,42.333,84.667,24,48,$50.61 ,$101.22 ,44,88,$47.93 ,$95.86 ,0,0,0,0,$98.54 ,$197.08 ,,,,,$98.54 ,$197.08 
T_3B,8,1,104.4,835.2,42.333,338.667,19,152,$51.53 ,$412.26 ,34,272,$33.83 ,$270.62 ,0,0,0,0,$85.36 ,$682.88 ,,,,,$85.36 ,$682.88 
T_3C,1,1,116.4,116.4,42.333,42.333,27,27,$52.22 ,$52.22 ,46,46,$34.97 ,$34.97 ,0,0,0,0,$87.19 ,$87.19 ,,,,,$87.19 ,$87.19 
T_4,3,1,28.1,84.2,14.125,42.375,5,15,$13.64 ,$40.91 ,10,30,$4.55 ,$13.66 ,0,0,0,0,$18.19 ,$54.57 ,,,,,$18.19 ,$54.57 
T_4A,1,1,26.4,26.4,14.125,14.125,6,6,$12.53 ,$12.53 ,10,10,$6.28 ,$6.28 ,0,0,0,0,$18.81 ,$18.81 ,,,,,$18.81 ,$18.81 
T_4B,1,1,29.1,29.1,14.125,14.125,7,7,$13.24 ,$13.24 ,12,12,$5.87 ,$5.87 ,0,0,0,0,$19.11 ,$19.11 ,,,,,$19.11 ,$19.11 
T_4C,1,1,27.7,27.7,14.125,14.125,6,6,$12.72 ,$12.72 ,12,12,$5.59 ,$5.59 ,0,0,0,0,$18.31 ,$18.31 ,,,,,$18.31 ,$18.31 
T_5,1,1,41.7,41.7,22.667,22.667,9,9,$18.23 ,$18.23 ,16,16,$10.63 ,$10.63 ,0,0,0,0,$28.86 ,$28.86 ,,,,,$28.86 ,$28.86 
T_5A,1,1,43.3,43.3,20.958,20.958,12,12,$19.16 ,$19.16 ,20,20,$10.49 ,$10.49 ,0,0,0,0,$29.65 ,$29.65 ,,,,,$29.65 ,$29.65 
T_5B,1,1,42.6,42.6,20.958,20.958,10,10,$19.20 ,$19.20 ,16,16,$10.63 ,$10.63 ,0,0,0,0,$29.83 ,$29.83 ,,,,,$29.83 ,$29.83 
